,country_name,state_name,Zip,As of Date,health_risk_type_description,toxin_type_name,toxin_type_cd,toxin_limit_unit,toxin_limit_value,utility_id
18,St. Croix,Virgin Islands,78010,2020-12-31,"Increased risk of cancer, kidney toxicity",COMBINED URANIUM,4006,μg/L,30,TX1330041
19,St. Croix,Virgin Islands,78010,2020-12-31,Hair or fingernail loss; numbness in fingers or toes; circulatory problems,SELENIUM,1045,MG/L,0.050000000000000003,TX1330011
20,St. Croix,Virgin Islands,78010,2020-12-31,"Skin damage or problems with circulatory systems, and may have increased risk of getting cancer",ARSENIC,1005,MG/L,0.01,TX0100012
21,St. Croix,Virgin Islands,78010,2020-12-31,Allergic dermatitis,CHROMIUM,1020,MG/L,0.10000000000000001,TX0100012
22,St. Croix,Virgin Islands,78010,2020-12-31,Increase in blood pressure,BARIUM,1010,MG/L,2,TX0100012
23,St. Croix,Virgin Islands,78010,2020-12-31,Infants and children: Delays in physical or mental development; children could show slight deficits in attention span and learning abilities; Adults: Kidney problems; high blood pressure,LEAD,1030,TT; Action Level,0.014999999999999999,TX1330001
24,St. Croix,Virgin Islands,78010,2020-12-31,Short-term exposure: Gastrointestinal distress. Long- term exposure: Liver or kidney damage. People with Wilson’s Disease should consult their personal doctor if the amount of copper in their water exceeds the action level,"COPPER, FREE",1022,TT; Action Level=1.3,1.3,TX1330001
25,St. Croix,Virgin Islands,78010,2020-12-31,"Liver, kidney, or central nervous system problems; increased risk of cancer",TTHM,2950,MG/L,0.080000000000000002,TX0100012
26,St. Croix,Virgin Islands,78010,2020-12-31,Bone disease (pain and tenderness of the bones); children may get mottled teeth,FLUORIDE,1025,MG/L,4,TX1330001
27,St. Croix,Virgin Islands,78010,2020-12-31,Increased risk of cancer,TOTAL HALOACETIC ACIDS (HAA5),2456,MG/L,0.059999999999999998,TX1330041
28,St. Croix,Virgin Islands,78010,2020-12-31,Minor kidney changes,DALAPON,2031,MG/L,0.20000000000000001,TX1330001
29,St. Croix,Virgin Islands,78010,2020-12-31,Increased risk of cancer,COMBINED RADIUM (-226 & -228),4010,pCi/L,5,TX1330001
30,St. Croix,Virgin Islands,78010,2020-12-31,,RADIUM-226,4020,MG/L,0,TX1330001
31,St. Croix,Virgin Islands,78010,2020-12-31,,RADIUM-228,4030,MG/L,0,TX1330001
32,St. Croix,Virgin Islands,78010,2020-12-31,"Nervous system, kidney, or liver problems",TOLUENE,2991,MG/L,1,TX1330001
33,St. Croix,Virgin Islands,78010,2020-12-31,"Infants below the age of six months who drink water containing nitrate in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome.",NITRATE,1040,MG/L,10,TX1330041
34,St. Croix,Virgin Islands,78010,2020-12-31,"Increased risk of cancer, kidney toxicity",COMBINED URANIUM,4006,μg/L,30,TX1330041
35,St. Croix,Virgin Islands,78010,2020-12-31,Hair or fingernail loss; numbness in fingers or toes; circulatory problems,SELENIUM,1045,MG/L,0.050000000000000003,TX1330011
36,St. Croix,Virgin Islands,78010,2020-12-31,"Skin damage or problems with circulatory systems, and may have increased risk of getting cancer",ARSENIC,1005,MG/L,0.01,TX0100012
37,St. Croix,Virgin Islands,78010,2020-12-31,Allergic dermatitis,CHROMIUM,1020,MG/L,0.10000000000000001,TX0100012
38,St. Croix,Virgin Islands,78010,2020-12-31,Increase in blood pressure,BARIUM,1010,MG/L,2,TX0100012
39,St. Croix,Virgin Islands,78010,2020-12-31,Infants and children: Delays in physical or mental development; children could show slight deficits in attention span and learning abilities; Adults: Kidney problems; high blood pressure,LEAD,1030,TT; Action Level,0.014999999999999999,TX1330001
40,St. Croix,Virgin Islands,78010,2020-12-31,Short-term exposure: Gastrointestinal distress. Long- term exposure: Liver or kidney damage. People with Wilson’s Disease should consult their personal doctor if the amount of copper in their water exceeds the action level,"COPPER, FREE",1022,TT; Action Level=1.3,1.3,TX1330001
41,St. Croix,Virgin Islands,78010,2020-12-31,"Liver, kidney, or central nervous system problems; increased risk of cancer",TTHM,2950,MG/L,0.080000000000000002,TX0100012
42,St. Croix,Virgin Islands,78010,2020-12-31,Bone disease (pain and tenderness of the bones); children may get mottled teeth,FLUORIDE,1025,MG/L,4,TX1330001
43,St. Croix,Virgin Islands,78010,2020-12-31,Increased risk of cancer,TOTAL HALOACETIC ACIDS (HAA5),2456,MG/L,0.059999999999999998,TX1330041
44,St. Croix,Virgin Islands,78010,2020-12-31,Minor kidney changes,DALAPON,2031,MG/L,0.20000000000000001,TX1330001
45,St. Croix,Virgin Islands,78010,2020-12-31,Increased risk of cancer,COMBINED RADIUM (-226 & -228),4010,pCi/L,5,TX1330001
46,St. Croix,Virgin Islands,78010,2020-12-31,,RADIUM-226,4020,MG/L,0,TX1330001
47,St. Croix,Virgin Islands,78010,2020-12-31,,RADIUM-228,4030,MG/L,0,TX1330001
48,St. Croix,Virgin Islands,78010,2020-12-31,"Nervous system, kidney, or liver problems",TOLUENE,2991,MG/L,1,TX1330001
49,St. Croix,Virgin Islands,78010,2020-12-31,"Infants below the age of six months who drink water containing nitrate in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome.",NITRATE,1040,MG/L,10,TX1330041
50,St. Croix,Virgin Islands,78010,2020-12-31,"Increased risk of cancer, kidney toxicity",COMBINED URANIUM,4006,μg/L,30,TX1330041
51,St. Croix,Virgin Islands,78010,2020-12-31,Hair or fingernail loss; numbness in fingers or toes; circulatory problems,SELENIUM,1045,MG/L,0.050000000000000003,TX1330011
52,St. Croix,Virgin Islands,78010,2020-12-31,"Skin damage or problems with circulatory systems, and may have increased risk of getting cancer",ARSENIC,1005,MG/L,0.01,TX0100012
53,St. Croix,Virgin Islands,78010,2020-12-31,Allergic dermatitis,CHROMIUM,1020,MG/L,0.10000000000000001,TX0100012
54,St. Croix,Virgin Islands,78010,2020-12-31,Increase in blood pressure,BARIUM,1010,MG/L,2,TX0100012
55,St. Croix,Virgin Islands,78010,2020-12-31,Infants and children: Delays in physical or mental development; children could show slight deficits in attention span and learning abilities; Adults: Kidney problems; high blood pressure,LEAD,1030,TT; Action Level,0.014999999999999999,TX1330001
56,St. Croix,Virgin Islands,78010,2020-12-31,Short-term exposure: Gastrointestinal distress. Long- term exposure: Liver or kidney damage. People with Wilson’s Disease should consult their personal doctor if the amount of copper in their water exceeds the action level,"COPPER, FREE",1022,TT; Action Level=1.3,1.3,TX1330001
57,St. Croix,Virgin Islands,78010,2020-12-31,"Liver, kidney, or central nervous system problems; increased risk of cancer",TTHM,2950,MG/L,0.080000000000000002,TX0100012
58,St. Croix,Virgin Islands,78010,2020-12-31,Bone disease (pain and tenderness of the bones); children may get mottled teeth,FLUORIDE,1025,MG/L,4,TX1330001
59,St. Croix,Virgin Islands,78010,2020-12-31,Increased risk of cancer,TOTAL HALOACETIC ACIDS (HAA5),2456,MG/L,0.059999999999999998,TX1330041
60,St. Croix,Virgin Islands,78010,2020-12-31,Minor kidney changes,DALAPON,2031,MG/L,0.20000000000000001,TX1330001
61,St. Croix,Virgin Islands,78010,2020-12-31,Increased risk of cancer,COMBINED RADIUM (-226 & -228),4010,pCi/L,5,TX1330001
62,St. Croix,Virgin Islands,78010,2020-12-31,,RADIUM-226,4020,MG/L,0,TX1330001
63,St. Croix,Virgin Islands,78010,2020-12-31,,RADIUM-228,4030,MG/L,0,TX1330001
64,St. Croix,Virgin Islands,78010,2020-12-31,"Nervous system, kidney, or liver problems",TOLUENE,2991,MG/L,1,TX1330001
65,St. Croix,Virgin Islands,78010,2020-12-31,"Infants below the age of six months who drink water containing nitrate in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome.",NITRATE,1040,MG/L,10,TX1330041
66,St. Croix,Virgin Islands,78010,2020-12-31,"Increased risk of cancer, kidney toxicity",COMBINED URANIUM,4006,μg/L,30,TX1330041
67,St. Croix,Virgin Islands,78010,2020-12-31,Hair or fingernail loss; numbness in fingers or toes; circulatory problems,SELENIUM,1045,MG/L,0.050000000000000003,TX1330011
68,St. Croix,Virgin Islands,78010,2020-12-31,"Skin damage or problems with circulatory systems, and may have increased risk of getting cancer",ARSENIC,1005,MG/L,0.01,TX0100012
69,St. Croix,Virgin Islands,78010,2020-12-31,Allergic dermatitis,CHROMIUM,1020,MG/L,0.10000000000000001,TX0100012
70,St. Croix,Virgin Islands,78010,2020-12-31,Increase in blood pressure,BARIUM,1010,MG/L,2,TX0100012
71,St. Croix,Virgin Islands,78010,2020-12-31,Infants and children: Delays in physical or mental development; children could show slight deficits in attention span and learning abilities; Adults: Kidney problems; high blood pressure,LEAD,1030,TT; Action Level,0.014999999999999999,TX1330001
72,St. Croix,Virgin Islands,78010,2020-12-31,Short-term exposure: Gastrointestinal distress. Long- term exposure: Liver or kidney damage. People with Wilson’s Disease should consult their personal doctor if the amount of copper in their water exceeds the action level,"COPPER, FREE",1022,TT; Action Level=1.3,1.3,TX1330001
73,St. Croix,Virgin Islands,78010,2020-12-31,"Liver, kidney, or central nervous system problems; increased risk of cancer",TTHM,2950,MG/L,0.080000000000000002,TX0100012
74,St. Croix,Virgin Islands,78010,2020-12-31,Bone disease (pain and tenderness of the bones); children may get mottled teeth,FLUORIDE,1025,MG/L,4,TX1330001
75,St. Croix,Virgin Islands,78010,2020-12-31,Increased risk of cancer,TOTAL HALOACETIC ACIDS (HAA5),2456,MG/L,0.059999999999999998,TX1330041
76,St. Croix,Virgin Islands,78010,2020-12-31,Minor kidney changes,DALAPON,2031,MG/L,0.20000000000000001,TX1330001
77,St. Croix,Virgin Islands,78010,2020-12-31,Increased risk of cancer,COMBINED RADIUM (-226 & -228),4010,pCi/L,5,TX1330001
78,St. Croix,Virgin Islands,78010,2020-12-31,,RADIUM-226,4020,MG/L,0,TX1330001
79,St. Croix,Virgin Islands,78010,2020-12-31,,RADIUM-228,4030,MG/L,0,TX1330001
80,St. Croix,Virgin Islands,78010,2020-12-31,"Nervous system, kidney, or liver problems",TOLUENE,2991,MG/L,1,TX1330001
81,St. Croix,Virgin Islands,78010,2020-12-31,"Infants below the age of six months who drink water containing nitrate in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome.",NITRATE,1040,MG/L,10,TX1330041
82,St. Croix,Virgin Islands,78010,2020-12-31,"Increased risk of cancer, kidney toxicity",COMBINED URANIUM,4006,μg/L,30,TX1330041
83,St. Croix,Virgin Islands,78010,2020-12-31,Hair or fingernail loss; numbness in fingers or toes; circulatory problems,SELENIUM,1045,MG/L,0.050000000000000003,TX1330011
84,St. Croix,Virgin Islands,78010,2020-12-31,"Skin damage or problems with circulatory systems, and may have increased risk of getting cancer",ARSENIC,1005,MG/L,0.01,TX0100012
85,St. Croix,Virgin Islands,78010,2020-12-31,Allergic dermatitis,CHROMIUM,1020,MG/L,0.10000000000000001,TX0100012
86,St. Croix,Virgin Islands,78010,2020-12-31,Increase in blood pressure,BARIUM,1010,MG/L,2,TX0100012
87,St. Croix,Virgin Islands,78010,2020-12-31,Infants and children: Delays in physical or mental development; children could show slight deficits in attention span and learning abilities; Adults: Kidney problems; high blood pressure,LEAD,1030,TT; Action Level,0.014999999999999999,TX1330001
88,St. Croix,Virgin Islands,78010,2020-12-31,Short-term exposure: Gastrointestinal distress. Long- term exposure: Liver or kidney damage. People with Wilson’s Disease should consult their personal doctor if the amount of copper in their water exceeds the action level,"COPPER, FREE",1022,TT; Action Level=1.3,1.3,TX1330001
89,St. Croix,Virgin Islands,78010,2020-12-31,"Liver, kidney, or central nervous system problems; increased risk of cancer",TTHM,2950,MG/L,0.080000000000000002,TX0100012
90,St. Croix,Virgin Islands,78010,2020-12-31,Bone disease (pain and tenderness of the bones); children may get mottled teeth,FLUORIDE,1025,MG/L,4,TX1330001
91,St. Croix,Virgin Islands,78010,2020-12-31,Increased risk of cancer,TOTAL HALOACETIC ACIDS (HAA5),2456,MG/L,0.059999999999999998,TX1330041
92,St. Croix,Virgin Islands,78010,2020-12-31,Minor kidney changes,DALAPON,2031,MG/L,0.20000000000000001,TX1330001
93,St. Croix,Virgin Islands,78010,2020-12-31,Increased risk of cancer,COMBINED RADIUM (-226 & -228),4010,pCi/L,5,TX1330001
94,St. Croix,Virgin Islands,78010,2020-12-31,,RADIUM-226,4020,MG/L,0,TX1330001
95,St. Croix,Virgin Islands,78010,2020-12-31,,RADIUM-228,4030,MG/L,0,TX1330001
96,St. Croix,Virgin Islands,78010,2020-12-31,"Nervous system, kidney, or liver problems",TOLUENE,2991,MG/L,1,TX1330001
97,St. Croix,Virgin Islands,78010,2020-12-31,"Infants below the age of six months who drink water containing nitrate in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome.",NITRATE,1040,MG/L,10,TX1330041
98,St. Croix,Virgin Islands,78010,2020-12-31,"Increased risk of cancer, kidney toxicity",COMBINED URANIUM,4006,μg/L,30,TX1330041
99,St. Croix,Virgin Islands,78010,2020-12-31,Hair or fingernail loss; numbness in fingers or toes; circulatory problems,SELENIUM,1045,MG/L,0.050000000000000003,TX1330011
100,St. Croix,Virgin Islands,78010,2020-12-31,"Skin damage or problems with circulatory systems, and may have increased risk of getting cancer",ARSENIC,1005,MG/L,0.01,TX0100012
101,St. Croix,Virgin Islands,78010,2020-12-31,Allergic dermatitis,CHROMIUM,1020,MG/L,0.10000000000000001,TX0100012
102,St. Croix,Virgin Islands,78010,2020-12-31,Increase in blood pressure,BARIUM,1010,MG/L,2,TX0100012
103,St. Croix,Virgin Islands,78010,2020-12-31,Infants and children: Delays in physical or mental development; children could show slight deficits in attention span and learning abilities; Adults: Kidney problems; high blood pressure,LEAD,1030,TT; Action Level,0.014999999999999999,TX1330001
104,St. Croix,Virgin Islands,78010,2020-12-31,Short-term exposure: Gastrointestinal distress. Long- term exposure: Liver or kidney damage. People with Wilson’s Disease should consult their personal doctor if the amount of copper in their water exceeds the action level,"COPPER, FREE",1022,TT; Action Level=1.3,1.3,TX1330001
105,St. Croix,Virgin Islands,78010,2020-12-31,"Liver, kidney, or central nervous system problems; increased risk of cancer",TTHM,2950,MG/L,0.080000000000000002,TX0100012
106,St. Croix,Virgin Islands,78010,2020-12-31,Bone disease (pain and tenderness of the bones); children may get mottled teeth,FLUORIDE,1025,MG/L,4,TX1330001
107,St. Croix,Virgin Islands,78010,2020-12-31,Increased risk of cancer,TOTAL HALOACETIC ACIDS (HAA5),2456,MG/L,0.059999999999999998,TX1330041
108,St. Croix,Virgin Islands,78010,2020-12-31,Minor kidney changes,DALAPON,2031,MG/L,0.20000000000000001,TX1330001
109,St. Croix,Virgin Islands,78010,2020-12-31,Increased risk of cancer,COMBINED RADIUM (-226 & -228),4010,pCi/L,5,TX1330001
110,St. Croix,Virgin Islands,78010,2020-12-31,,RADIUM-226,4020,MG/L,0,TX1330001
111,St. Croix,Virgin Islands,78010,2020-12-31,,RADIUM-228,4030,MG/L,0,TX1330001
112,Hillsborough,New Hampshire,33011,2020-12-31,"Skin damage or problems with circulatory systems, and may have increased risk of getting cancer",ARSENIC,1005,MG/L,0.01,FL4134357
113,Hillsborough,New Hampshire,33011,2020-12-31,Increase in blood pressure,BARIUM,1010,MG/L,2,FL4134357
114,Hillsborough,New Hampshire,33011,2020-12-31,Kidney damage,CADMIUM,1015,MG/L,0.0050000000000000001,FL4134357
115,Hillsborough,New Hampshire,33011,2020-12-31,Allergic dermatitis,CHROMIUM,1020,MG/L,0.10000000000000001,FL4134357
116,Hillsborough,New Hampshire,33011,2020-12-31,Short-term exposure: Gastrointestinal distress. Long- term exposure: Liver or kidney damage. People with Wilson’s Disease should consult their personal doctor if the amount of copper in their water exceeds the action level,"COPPER, FREE",1022,TT; Action Level=1.3,1.3,FL4134357
117,Hillsborough,New Hampshire,33011,2020-12-31,Nerve damage or thyroid problems,CYANIDE,1024,MG/L,0.20000000000000001,FL4134357
118,Hillsborough,New Hampshire,33011,2020-12-31,Bone disease (pain and tenderness of the bones); children may get mottled teeth,FLUORIDE,1025,MG/L,4,FL4134357
119,Hillsborough,New Hampshire,33011,2020-12-31,Infants and children: Delays in physical or mental development; children could show slight deficits in attention span and learning abilities; Adults: Kidney problems; high blood pressure,LEAD,1030,TT; Action Level,0.014999999999999999,FL4134357
120,Hillsborough,New Hampshire,33011,2020-12-31,Kidney damage,MERCURY,1035,MG/L,0.002,FL4134357
121,Hillsborough,New Hampshire,33011,2020-12-31,Hair or fingernail loss; numbness in fingers or toes; circulatory problems,SELENIUM,1045,MG/L,0.050000000000000003,FL4134357
122,Hillsborough,New Hampshire,33011,2020-12-31,Increase in blood cholesterol; decrease in blood sugar,"ANTIMONY, TOTAL",1074,MG/L,0.0060000000000000001,FL4134357
123,Hillsborough,New Hampshire,33011,2020-12-31,Intestinal lesions,"BERYLLIUM, TOTAL",1075,MG/L,0.0040000000000000001,FL4134357
124,Hillsborough,New Hampshire,33011,2020-12-31,"Hair loss; changes in blood; kidney, intestine, or liver problems","THALLIUM, TOTAL",1085,MG/L,0.002,FL4134357
125,Hillsborough,New Hampshire,33011,2020-12-31,Changes in adrenal glands,"1,2,4-TRICHLOROBENZENE",2378,MG/L,0.070000000000000007,FL4134357
126,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems,"CIS-1,2-DICHLOROETHYLENE",2380,MG/L,0.070000000000000007,FL4134357
127,Hillsborough,New Hampshire,33011,2020-12-31,Nervous system damage,"XYLENES, TOTAL",2955,MG/L,10,FL4134357
128,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems; increased risk of cancer,DICHLOROMETHANE,2964,MG/L,0.0050000000000000001,FL4134357
129,Hillsborough,New Hampshire,33011,2020-12-31,"Liver, kidney, or circulatory system problems",O-DICHLOROBENZENE,2968,MG/L,0.59999999999999998,FL4134357
130,Hillsborough,New Hampshire,33011,2020-12-31,"Anemia; liver, kidney, or spleen damage; changes in blood",P-DICHLOROBENZENE,2969,MG/L,0.074999999999999997,FL4134357
131,Hillsborough,New Hampshire,33011,2020-12-31,Increased risk of cancer,VINYL CHLORIDE,2976,MG/L,0.002,FL4134357
132,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems,"1,1-DICHLOROETHYLENE",2977,MG/L,0.0070000000000000001,FL4134357
133,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems,"TRANS-1,2-DICHLOROETHYLENE",2979,MG/L,0.10000000000000001,FL4134357
134,Hillsborough,New Hampshire,33011,2020-12-31,Increased risk of cancer,"1,2-DICHLOROETHANE",2980,MG/L,0.0050000000000000001,FL4134357
135,Hillsborough,New Hampshire,33011,2020-12-31,"Liver, nervous system, or circulatory problems","1,1,1-TRICHLOROETHANE",2981,MG/L,0.20000000000000001,FL4134357
136,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems; increased risk of cancer,CARBON TETRACHLORIDE,2982,MG/L,0.0050000000000000001,FL4134357
137,Hillsborough,New Hampshire,33011,2020-12-31,Increased risk of cancer,"1,2-DICHLOROPROPANE",2983,MG/L,0.0050000000000000001,FL4134357
138,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems; increased risk of cancer,TRICHLOROETHYLENE,2984,MG/L,0.0050000000000000001,FL4134357
139,Hillsborough,New Hampshire,33011,2020-12-31,"Liver, kidney, or immune system problems","1,1,2-TRICHLOROETHANE",2985,MG/L,0.0050000000000000001,FL4134357
140,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems; increased risk of cancer,TETRACHLOROETHYLENE,2987,MG/L,0.0050000000000000001,FL4134357
141,Hillsborough,New Hampshire,33011,2020-12-31,Liver or kidney problems,CHLOROBENZENE,2989,MG/L,0.10000000000000001,FL4134357
142,Hillsborough,New Hampshire,33011,2020-12-31,Anemia; decrease in blood platelets; increased risk of cancer,BENZENE,2990,MG/L,0.0050000000000000001,FL4134357
143,Hillsborough,New Hampshire,33011,2020-12-31,"Nervous system, kidney, or liver problems",TOLUENE,2991,MG/L,1,FL4134357
144,Hillsborough,New Hampshire,33011,2020-12-31,Liver or kidney problems,ETHYLBENZENE,2992,MG/L,0.69999999999999996,FL4134357
145,Hillsborough,New Hampshire,33011,2020-12-31,"Liver, kidney, or circulatory system problems",STYRENE,2996,MG/L,0.10000000000000001,FL4134357
146,Hillsborough,New Hampshire,33011,2020-12-31,,RADIUM-226,4020,MG/L,0,FL4134357
147,Hillsborough,New Hampshire,33011,2020-12-31,,RADIUM-228,4030,MG/L,0,FL4134357
148,Hillsborough,New Hampshire,33011,2020-12-31,"Infants below the age of six months who drink water containing nitrate in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome.",NITRATE,1040,MG/L,10,FL4130604
149,Hillsborough,New Hampshire,33011,2020-12-31,"Infants below the age of six months who drink water containing nitrite in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome.",NITRITE,1041,MG/L,1,FL4130604
150,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems,ENDRIN,2005,MG/L,0.002,FL4130604
151,Hillsborough,New Hampshire,33011,2020-12-31,Reproductive difficulties,METHOXYCHLOR,2015,MG/L,0.040000000000000001,FL4130604
152,Hillsborough,New Hampshire,33011,2020-12-31,"Kidney, liver, or thyroid problems; increased risk of cancer",TOXAPHENE,2020,MG/L,0.0030000000000000001,FL4130604
153,Hillsborough,New Hampshire,33011,2020-12-31,Minor kidney changes,DALAPON,2031,MG/L,0.20000000000000001,FL4130604
154,Hillsborough,New Hampshire,33011,2020-12-31,Cataracts,DIQUAT,2032,MG/L,0.02,FL4130604
155,Hillsborough,New Hampshire,33011,2020-12-31,Kidney problems; reproductive difficulties,GLYPHOSATE,2034,MG/L,0.69999999999999996,FL4130604
156,Hillsborough,New Hampshire,33011,2020-12-31,"Weight loss, liver problems, or possible reproductive difficulties",DI(2-ETHYLHEXYL) ADIPATE,2035,MG/L,0.40000000000000002,FL4130604
157,Hillsborough,New Hampshire,33011,2020-12-31,Slight nervous system effects,OXAMYL,2036,MG/L,0.20000000000000001,FL4130604
158,Hillsborough,New Hampshire,33011,2020-12-31,Problems with blood,SIMAZINE,2037,MG/L,0.0040000000000000001,FL4130604
159,Hillsborough,New Hampshire,33011,2020-12-31,Reproductive difficulties; liver problems; increased risk of cancer,DI(2-ETHYLHEXYL) PHTHALATE,2039,MG/L,0.0060000000000000001,FL4130604
160,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems,PICLORAM,2040,MG/L,0.5,FL4130604
161,Hillsborough,New Hampshire,33011,2020-12-31,Reproductive difficulties,DINOSEB,2041,MG/L,0.0070000000000000001,FL4130604
162,Hillsborough,New Hampshire,33011,2020-12-31,Kidney or stomach problems,HEXACHLOROCYCLOPENTADIENE,2042,MG/L,0.050000000000000003,FL4130604
163,Hillsborough,New Hampshire,33011,2020-12-31,"Problems with blood, nervous system, or reproductive system",CARBOFURAN,2046,MG/L,0.040000000000000001,FL4130604
164,Hillsborough,New Hampshire,33011,2020-12-31,Cardiovascular system or reproductive problems,ATRAZINE,2050,MG/L,0.0030000000000000001,FL4130604
165,Hillsborough,New Hampshire,33011,2020-12-31,Liver damage; increased risk of cancer,HEPTACHLOR,2065,MG/L,0.00040000000000000002,FL4130604
166,Hillsborough,New Hampshire,33011,2020-12-31,Liver damage; increased risk of cancer,HEPTACHLOR EPOXIDE,2067,MG/L,0.00020000000000000001,FL4130604
167,Hillsborough,New Hampshire,33011,2020-12-31,"Kidney, liver, or adrenal gland problems","2,4-D",2105,MG/L,0.070000000000000007,FL4130604
168,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems,"2,4,5-TP",2110,MG/L,0.050000000000000003,FL4130604
169,Hillsborough,New Hampshire,33011,2020-12-31,Liver or kidney problems; reproductive difficulties; increased risk of cancer,HEXACHLOROBENZENE,2274,MG/L,0.001,FL4130604
170,Hillsborough,New Hampshire,33011,2020-12-31,Reproductive difficulties; increased risk of cancer,BENZO(A)PYRENE,2306,MG/L,0.00020000000000000001,FL4130604
171,Hillsborough,New Hampshire,33011,2020-12-31,Liver or kidney problems; increased cancer risk,PENTACHLOROPHENOL,2326,MG/L,0.001,FL4130604
172,Hillsborough,New Hampshire,33011,2020-12-31,Reproductive difficulties; increased risk of cancer,"1,2-DIBROMO-3-CHLOROPROPANE",2931,MG/L,0.00020000000000000001,FL4130604
173,Hillsborough,New Hampshire,33011,2020-12-31,"Problems with liver, stomach, reproductive system, or kidneys; increased risk of cancer",ETHYLENE DIBROMIDE,2946,MG/L,5.0000000000000002e-05,FL4130604
174,Hillsborough,New Hampshire,33011,2020-12-31,Liver or nervous system problems; increased risk of cancer,CHLORDANE,2959,MG/L,0.002,FL4130604
